subject,puzzle,event,move,prev_move,s_free,s_fixed,d_goal,Lopt,attempt,RT,timestamp,first_move
A30KYQGABO7JER:37TD41K0AIHM8AITTQJXV8KY05QCSB,prb78361_16,move,"(4, 2)","(5, 2)","Int8[2, 1, 4, 3, 3, 1, 2, 5, 1]","(Car(3, :x, 2), Car(6, :x, 2), Car(3, :y, 2), Car(6, :x, 2), Car(1, :y, 3), Car(5, :y, 3), Car(1, :x, 3), Car(5, :x, 2), Car(6, :y, 2))",15,14,1,958,1517522795570,false
A30KYQGABO7JER:37TD41K0AIHM8AITTQJXV8KY05QCSB,prb78361_16,move,"(2, 2)","(4, 2)","Int8[2, 1, 4, 5, 3, 1, 2, 5, 1]","(Car(3, :x, 2), Car(6, :x, 2), Car(3, :y, 2), Car(6, :x, 2), Car(1, :y, 3), Car(5, :y, 3), Car(1, :x, 3), Car(5, :x, 2), Car(6, :y, 2))",14,14,1,1426,1517522796996,false
A30KYQGABO7JER:37TD41K0AIHM8AITTQJXV8KY05QCSB,prb78361_16,move,"(5, 1)","(2, 2)","Int8[2, 3, 4, 5, 3, 1, 2, 5, 1]","(Car(3, :x, 2), Car(6, :x, 2), Car(3, :y, 2), Car(6, :x, 2), Car(1, :y, 3), Car(5, :y, 3), Car(1, :x, 3), Car(5, :x, 2), Car(6, :y, 2))",13,14,1,1089,1517522798085,false
A30KYQGABO7JER:37TD41K0AIHM8AITTQJXV8KY05QCSB,prb78361_16,move,"(1, -1)","(5, 1)","Int8[2, 3, 4, 5, 4, 1, 2, 5, 1]","(Car(3, :x, 2), Car(6, :x, 2), Car(3, :y, 2), Car(6, :x, 2), Car(1, :y, 3), Car(5, :y, 3), Car(1, :x, 3), Car(5, :x, 2), Car(6, :y, 2))",12,14,1,885,1517522798970,false
A30KYQGABO7JER:37TD41K0AIHM8AITTQJXV8KY05QCSB,prb78361_16,move,"(3, -2)","(1, -1)","Int8[1, 3, 4, 5, 4, 1, 2, 5, 1]","(Car(3, :x, 2), Car(6, :x, 2), Car(3, :y, 2), Car(6, :x, 2), Car(1, :y, 3), Car(5, :y, 3), Car(1, :x, 3), Car(5, :x, 2), Car(6, :y, 2))",11,14,1,3031,1517522802001,false
A30KYQGABO7JER:37TD41K0AIHM8AITTQJXV8KY05QCSB,prb78361_16,move,"(2, -1)","(3, -2)","Int8[1, 3, 2, 5, 4, 1, 2, 5, 1]","(Car(3, :x, 2), Car(6, :x, 2), Car(3, :y, 2), Car(6, :x, 2), Car(1, :y, 3), Car(5, :y, 3), Car(1, :x, 3), Car(5, :x, 2), Car(6, :y, 2))",10,14,1,917,1517522802918,false
A30KYQGABO7JER:37TD41K0AIHM8AITTQJXV8KY05QCSB,prb78361_16,move,"(8, -3)","(2, -1)","Int8[1, 2, 2, 5, 4, 1, 2, 5, 1]","(Car(3, :x, 2), Car(6, :x, 2), Car(3, :y, 2), Car(6, :x, 2), Car(1, :y, 3), Car(5, :y, 3), Car(1, :x, 3), Car(5, :x, 2), Car(6, :y, 2))",10,14,1,1240,1517522804158,false
A30KYQGABO7JER:37TD41K0AIHM8AITTQJXV8KY05QCSB,prb78361_16,move,"(4, -1)","(8, -3)","Int8[1, 2, 2, 5, 4, 1, 2, 2, 1]","(Car(3, :x, 2), Car(6, :x, 2), Car(3, :y, 2), Car(6, :x, 2), Car(1, :y, 3), Car(5, :y, 3), Car(1, :x, 3), Car(5, :x, 2), Car(6, :y, 2))",9,14,1,1632,1517522805790,false
A30KYQGABO7JER:37TD41K0AIHM8AITTQJXV8KY05QCSB,prb78361_16,move,"(9, 4)","(4, -1)","Int8[1, 2, 2, 4, 4, 1, 2, 2, 1]","(Car(3, :x, 2), Car(6, :x, 2), Car(3, :y, 2), Car(6, :x, 2), Car(1, :y, 3), Car(5, :y, 3), Car(1, :x, 3), Car(5, :x, 2), Car(6, :y, 2))",9,14,1,1596,1517522807386,false
A30KYQGABO7JER:37TD41K0AIHM8AITTQJXV8KY05QCSB,prb78361_16,move,"(7, -1)","(9, 4)","Int8[1, 2, 2, 4, 4, 1, 2, 2, 5]","(Car(3, :x, 2), Car(6, :x, 2), Car(3, :y, 2), Car(6, :x, 2), Car(1, :y, 3), Car(5, :y, 3), Car(1, :x, 3), Car(5, :x, 2), Car(6, :y, 2))",8,14,1,2682,1517522810068,false
A30KYQGABO7JER:37TD41K0AIHM8AITTQJXV8KY05QCSB,prb78361_16,move,"(6, 2)","(7, -1)","Int8[1, 2, 2, 4, 4, 1, 1, 2, 5]","(Car(3, :x, 2), Car(6, :x, 2), Car(3, :y, 2), Car(6, :x, 2), Car(1, :y, 3), Car(5, :y, 3), Car(1, :x, 3), Car(5, :x, 2), Car(6, :y, 2))",8,14,1,3735,1517522813803,false
A30KYQGABO7JER:37TD41K0AIHM8AITTQJXV8KY05QCSB,prb78361_16,move,"(7, 3)","(6, 2)","Int8[1, 2, 2, 4, 4, 3, 1, 2, 5]","(Car(3, :x, 2), Car(6, :x, 2), Car(3, :y, 2), Car(6, :x, 2), Car(1, :y, 3), Car(5, :y, 3), Car(1, :x, 3), Car(5, :x, 2), Car(6, :y, 2))",7,14,1,1130,1517522814933,false
A30KYQGABO7JER:37TD41K0AIHM8AITTQJXV8KY05QCSB,prb78361_16,move,"(3, -1)","(7, 3)","Int8[1, 2, 2, 4, 4, 3, 4, 2, 5]","(Car(3, :x, 2), Car(6, :x, 2), Car(3, :y, 2), Car(6, :x, 2), Car(1, :y, 3), Car(5, :y, 3), Car(1, :x, 3), Car(5, :x, 2), Car(6, :y, 2))",6,14,1,1375,1517522816308,false
A30KYQGABO7JER:37TD41K0AIHM8AITTQJXV8KY05QCSB,prb78361_16,move,"(1, 2)","(3, -1)","Int8[1, 2, 1, 4, 4, 3, 4, 2, 5]","(Car(3, :x, 2), Car(6, :x, 2), Car(3, :y, 2), Car(6, :x, 2), Car(1, :y, 3), Car(5, :y, 3), Car(1, :x, 3), Car(5, :x, 2), Car(6, :y, 2))",5,14,1,1357,1517522817665,false
